"x"	"y"
"1"	-10	9.08924012054155e-06
"2"	-9	2.47037831329447e-05
"3"	-8	6.71391836338081e-05
"4"	-7	0.000182442213479595
"5"	-6	0.000495567279260839
"6"	-5	0.00134466221566399
"7"	-4	0.00363798347492581
"8"	-3	0.00976596345548583
"9"	-2	0.0256821038368549
"10"	-1	0.064143681847338
"11"	0	0.142857142857143
"12"	1	0.260444614794941
"13"	2	0.373578056548839
"14"	3	0.4446395352929
"15"	4	0.478099188577173
"16"	5	0.491712866798469
"17"	6	0.496918737718657
"18"	7	0.498861916328047
"19"	8	0.499580675709739
"20"	9	0.499845641394455
"21"	10	0.499943197670292
