"x"	"y"
"1"	-10	9.08932273557842e-06
"2"	-9	2.47043934249223e-05
"3"	-8	6.71436916064487e-05
"4"	-7	0.000182475504714581
"5"	-6	0.000495812987954302
"6"	-5	0.00134647276671782
"7"	-4	0.00365126672292636
"8"	-3	0.00986227810302784
"9"	-2	0.0263590599515731
"10"	-1	0.0685400959561343
"11"	0	0.166666666666667
"12"	1	0.352163772998186
"13"	2	0.59636808776314
"14"	3	0.800632316395452
"15"	4	0.916072897594773
"16"	5	0.967391922162841
"17"	6	0.98775043909459
"18"	7	0.995458003655942
"19"	8	0.998324108323133
"20"	9	0.999382756131626
"21"	10	0.999772816490272
