"x"	"y"
"1"	-10	4.54449614222078e-05
"2"	-9	0.000123509762189584
"3"	-8	0.000335628316735471
"4"	-7	0.000911712063097433
"5"	-6	0.00247415806096799
"6"	-5	0.00669629830039191
"7"	-4	0.0179935368059624
"8"	-3	0.0474399274830384
"9"	-2	0.119224696108172
"10"	-1	0.268961807423346
"11"	0	0.5
"12"	1	0.731038192576654
"13"	2	0.880775303891828
"14"	3	0.952560072516962
"15"	4	0.982006463194038
"16"	5	0.993303701699608
"17"	6	0.997525841939032
"18"	7	0.999088287936903
"19"	8	0.999664371683265
"20"	9	0.99987649023781
"21"	10	0.999954555038578
