"x"	"y"
"1"	-10	2.27233584739308e-06
"2"	-9	6.17613650065706e-06
"3"	-8	1.67862046735496e-05
"4"	-7	4.562095735545e-05
"5"	-6	0.000123968613300719
"6"	-5	0.000336731541642084
"7"	-4	0.000913650676309287
"8"	-3	0.00247166358416801
"9"	-2	0.00663347804929046
"10"	-1	0.0174337517433752
"11"	0	0.0434782608695652
"12"	1	0.0965404560630816
"13"	2	0.175215212202899
"14"	3	0.250247047408263
"15"	4	0.297047519988493
"16"	5	0.318996684481821
"17"	6	0.32791122353013
"18"	7	0.33131771992777
"19"	8	0.33258890844655
"20"	9	0.333059059156518
"21"	10	0.33323237053026
