"x"	"y"
"1"	1	3
"2"	2	6
"3"	3	11
"4"	4	18
"5"	5	27
"6"	6	38
"7"	7	51
"8"	8	66
"9"	9	83
"10"	10	102
"11"	11	123
"12"	12	146
"13"	13	171
"14"	14	198
"15"	15	227
"16"	16	258
"17"	17	291
"18"	18	326
"19"	19	363
"20"	20	402
"21"	21	443
"22"	22	486
"23"	23	531
"24"	24	578
"25"	25	627
"26"	26	678
"27"	27	731
"28"	28	786
"29"	29	843
"30"	30	902
"31"	31	963
"32"	32	1026
"33"	33	1091
"34"	34	1158
"35"	35	1227
"36"	36	1298
"37"	37	1371
"38"	38	1446
"39"	39	1523
"40"	40	1602
"41"	41	1683
"42"	42	1766
"43"	43	1851
"44"	44	1938
"45"	45	2027
"46"	46	2118
"47"	47	2211
"48"	48	2306
"49"	49	2403
"50"	50	2502
"51"	51	2603
"52"	52	2706
"53"	53	2811
"54"	54	2918
"55"	55	3027
"56"	56	3138
"57"	57	3251
"58"	58	3366
"59"	59	3483
"60"	60	3602
"61"	61	3723
"62"	62	3846
"63"	63	3971
"64"	64	4098
"65"	65	4227
"66"	66	4358
"67"	67	4491
"68"	68	4626
"69"	69	4763
"70"	70	4902
"71"	71	5043
"72"	72	5186
"73"	73	5331
"74"	74	5478
"75"	75	5627
"76"	76	5778
"77"	77	5931
"78"	78	6086
"79"	79	6243
"80"	80	6402
"81"	81	6563
"82"	82	6726
"83"	83	6891
"84"	84	7058
"85"	85	7227
"86"	86	7398
"87"	87	7571
"88"	88	7746
"89"	89	7923
"90"	90	8102
"91"	91	8283
"92"	92	8466
"93"	93	8651
"94"	94	8838
"95"	95	9027
"96"	96	9218
"97"	97	9411
"98"	98	9606
"99"	99	9803
"100"	100	10002
