"x"	"y"
"1"	1	257
"2"	2	4097
"3"	3	20737
"4"	4	65537
"5"	5	160001
"6"	6	331777
"7"	7	614657
"8"	8	1048577
"9"	9	1679617
"10"	10	2560001
"11"	11	3748097
"12"	12	5308417
"13"	13	7311617
"14"	14	9834497
"15"	15	12960001
"16"	16	16777217
"17"	17	21381377
"18"	18	26873857
"19"	19	33362177
"20"	20	40960001
"21"	21	49787137
"22"	22	59969537
"23"	23	71639297
"24"	24	84934657
"25"	25	100000001
"26"	26	116985857
"27"	27	136048897
"28"	28	157351937
"29"	29	181063937
"30"	30	207360001
"31"	31	236421377
"32"	32	268435457
"33"	33	303595777
"34"	34	342102017
"35"	35	384160001
"36"	36	429981697
"37"	37	479785217
"38"	38	533794817
"39"	39	592240897
"40"	40	655360001
"41"	41	723394817
"42"	42	796594177
"43"	43	875213057
"44"	44	959512577
"45"	45	1049760001
"46"	46	1146228737
"47"	47	1249198337
"48"	48	1358954497
"49"	49	1475789057
"50"	50	1600000001
"51"	51	1731891457
"52"	52	1871773697
"53"	53	2019963137
"54"	54	2176782337
"55"	55	2342560001
"56"	56	2517630977
"57"	57	2702336257
"58"	58	2897022977
"59"	59	3102044417
"60"	60	3317760001
"61"	61	3544535297
"62"	62	3782742017
"63"	63	4032758017
"64"	64	4294967297
"65"	65	4569760001
"66"	66	4857532417
"67"	67	5158686977
"68"	68	5473632257
"69"	69	5802782977
"70"	70	6146560001
"71"	71	6505390337
"72"	72	6879707137
"73"	73	7269949697
"74"	74	7676563457
"75"	75	8100000001
"76"	76	8540717057
"77"	77	8999178497
"78"	78	9475854337
"79"	79	9971220737
"80"	80	10485760001
"81"	81	11019960577
"82"	82	11574317057
"83"	83	12149330177
"84"	84	12745506817
"85"	85	13363360001
"86"	86	14003408897
"87"	87	14666178817
"88"	88	15352201217
"89"	89	16062013697
"90"	90	16796160001
"91"	91	17555190017
"92"	92	18339659777
"93"	93	19150131457
"94"	94	19987173377
"95"	95	20851360001
"96"	96	21743271937
"97"	97	22663495937
"98"	98	23612624897
"99"	99	24591257857
"100"	100	25600000001
