"x"	"y"
"1"	1	9
"2"	2	36
"3"	3	81
"4"	4	144
"5"	5	225
"6"	6	324
"7"	7	441
"8"	8	576
"9"	9	729
"10"	10	900
"11"	11	1089
"12"	12	1296
"13"	13	1521
"14"	14	1764
"15"	15	2025
"16"	16	2304
"17"	17	2601
"18"	18	2916
"19"	19	3249
"20"	20	3600
"21"	21	3969
"22"	22	4356
"23"	23	4761
"24"	24	5184
"25"	25	5625
"26"	26	6084
"27"	27	6561
"28"	28	7056
"29"	29	7569
"30"	30	8100
"31"	31	8649
"32"	32	9216
"33"	33	9801
"34"	34	10404
"35"	35	11025
"36"	36	11664
"37"	37	12321
"38"	38	12996
"39"	39	13689
"40"	40	14400
"41"	41	15129
"42"	42	15876
"43"	43	16641
"44"	44	17424
"45"	45	18225
"46"	46	19044
"47"	47	19881
"48"	48	20736
"49"	49	21609
"50"	50	22500
"51"	51	23409
"52"	52	24336
"53"	53	25281
"54"	54	26244
"55"	55	27225
"56"	56	28224
"57"	57	29241
"58"	58	30276
"59"	59	31329
"60"	60	32400
"61"	61	33489
"62"	62	34596
"63"	63	35721
"64"	64	36864
"65"	65	38025
"66"	66	39204
"67"	67	40401
"68"	68	41616
"69"	69	42849
"70"	70	44100
"71"	71	45369
"72"	72	46656
"73"	73	47961
"74"	74	49284
"75"	75	50625
"76"	76	51984
"77"	77	53361
"78"	78	54756
"79"	79	56169
"80"	80	57600
"81"	81	59049
"82"	82	60516
"83"	83	62001
"84"	84	63504
"85"	85	65025
"86"	86	66564
"87"	87	68121
"88"	88	69696
"89"	89	71289
"90"	90	72900
"91"	91	74529
"92"	92	76176
"93"	93	77841
"94"	94	79524
"95"	95	81225
"96"	96	82944
"97"	97	84681
"98"	98	86436
"99"	99	88209
"100"	100	90000
